WHO region,Year,Life expectancy at birth (years) - Both sexes,Life expectancy at birth (years) - Male,Life expectancy at birth (years) - Female,Life expectancy at age 60 (years) - Both sexes,Life expectancy at age 60 (years) - Male,Life expectancy at age 60 (years) - Female
Africa,2015,60,58.3,61.8,16.5,15.7,17.2
Africa,2014,59.3,57.6,61,16.4,15.6,17.1
Africa,2013,58.8,57.1,60.5,16.3,15.6,17
Africa,2012,58.2,56.6,59.7,16.2,15.5,16.9
Africa,2011,57.6,56.2,59.1,16.2,15.4,16.8
Africa,2010,57,55.6,58.4,16.1,15.4,16.7
Africa,2009,56.3,54.9,57.6,16,15.3,16.6
Africa,2008,55.5,54.2,56.8,15.9,15.2,16.5
Africa,2007,54.6,53.4,55.9,15.8,15.1,16.4
Africa,2006,53.8,52.6,55,15.6,14.9,16.3
Africa,2005,53,51.8,54.2,15.5,14.8,16.1
Africa,2004,52.2,51.1,53.4,15.3,14.7,16
Africa,2003,51.7,50.5,52.9,15.2,14.5,15.9
Africa,2002,51.3,50,52.5,15.2,14.5,15.8
Africa,2001,51,49.7,52.3,15.2,14.5,15.8
Africa,2000,50.6,49.3,52,15.1,14.4,15.8
Americas,2015,76.9,74,79.9,22.8,21.2,24.3
Americas,2014,76.7,73.8,79.7,22.7,21.1,24.2
Americas,2013,76.5,73.6,79.5,22.6,20.9,24
Americas,2012,76.4,73.4,79.4,22.5,20.8,24
Americas,2011,76.2,73.2,79.2,22.3,20.7,23.8
Americas,2010,75.3,72.3,78.4,22.1,20.4,23.6
Americas,2009,75.9,72.8,78.9,22.2,20.5,23.7
Americas,2008,75.6,72.6,78.7,22,20.3,23.4
Americas,2007,75.5,72.5,78.6,21.9,20.2,23.4
Americas,2006,75.3,72.3,78.3,21.8,20.1,23.3
Americas,2005,74.9,71.9,78,21.5,19.8,23
Americas,2004,74.7,71.7,77.8,21.4,19.7,22.9
Americas,2003,74.4,71.3,77.5,21.2,19.5,22.7
Americas,2002,74.2,71.1,77.3,21.2,19.5,22.7
Americas,2001,74,70.9,77.1,21,19.3,22.6
Americas,2000,73.7,70.6,76.9,20.9,19.1,22.5
South-East Asia,2015,69,67.3,70.7,18,17.1,18.9
South-East Asia,2014,68.7,67,70.4,17.9,17,18.8
South-East Asia,2013,68.3,66.7,70,17.8,16.9,18.7
South-East Asia,2012,68,66.5,69.7,17.7,16.8,18.6
South-East Asia,2011,67.6,66.2,69.2,17.6,16.7,18.4
South-East Asia,2010,67.2,65.8,68.7,17.5,16.6,18.3
South-East Asia,2009,66.8,65.5,68.2,17.3,16.5,18.2
South-East Asia,2008,66.3,65,67.6,17.2,16.4,18
South-East Asia,2007,66.1,64.9,67.4,17.2,16.3,18
South-East Asia,2006,65.7,64.5,67,17.1,16.2,17.9
South-East Asia,2005,65.4,64.2,66.7,17,16.2,17.9
South-East Asia,2004,64.7,63.5,66,16.9,16,17.8
South-East Asia,2003,64.7,63.5,65.9,16.9,16,17.8
South-East Asia,2002,64.3,63.2,65.5,16.8,15.9,17.7
South-East Asia,2001,63.9,62.8,65.1,16.7,15.8,17.6
South-East Asia,2000,63.5,62.4,64.7,16.7,15.8,17.6
Europe,2015,76.8,73.2,80.2,22,19.9,23.9
Europe,2014,76.5,73,80.1,21.9,19.7,23.8
Europe,2013,76.3,72.7,79.8,21.7,19.6,23.6
Europe,2012,76,72.4,79.6,21.6,19.4,23.4
Europe,2011,75.8,72.1,79.5,21.6,19.4,23.4
Europe,2010,75.3,71.5,79,21.2,19,23.1
Europe,2009,75,71.2,78.9,21.1,18.9,23
Europe,2008,74.6,70.6,78.5,20.9,18.7,22.9
Europe,2007,74.3,70.3,78.3,20.8,18.6,22.7
Europe,2006,73.9,69.9,78,20.6,18.4,22.5
Europe,2005,73.2,69.1,77.4,20.2,17.9,22.2
Europe,2004,73.2,69.1,77.4,20.2,17.9,22.2
Europe,2003,72.7,68.6,76.9,19.7,17.4,21.7
Europe,2002,72.6,68.5,76.8,19.7,17.4,21.7
Europe,2001,72.5,68.4,76.8,19.8,17.4,21.8
Europe,2000,72.3,68.1,76.5,19.6,17.2,21.6
Eastern Mediterranean,2015,68.8,67.3,70.3,18.1,17.5,18.8
Eastern Mediterranean,2014,68.5,67,70.1,18.1,17.4,18.7
Eastern Mediterranean,2013,68.4,67,70,18.1,17.4,18.7
Eastern Mediterranean,2012,68.1,66.7,69.6,17.9,17.3,18.6
Eastern Mediterranean,2011,68.2,66.8,69.7,18,17.3,18.7
Eastern Mediterranean,2010,67.9,66.5,69.3,17.9,17.2,18.6
